Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.254583452407293
75% Corpus,2,0.01,0.31,0.29665385617346873
75% Corpus,2,0.01,0.61,0.2494570792478381
75% Corpus,2,0.01,0.9099999999999999,0.2616920764929858
75% Corpus,2,0.01,symmetric,0.24375265174950422
75% Corpus,2,0.31,0.01,0.253275277629445
75% Corpus,2,0.31,0.31,0.2780868125938656
75% Corpus,2,0.31,0.61,0.30069212177235316
75% Corpus,2,0.31,0.9099999999999999,0.31366880052526736
75% Corpus,2,0.31,symmetric,0.30379207813538955
75% Corpus,2,0.61,0.01,0.28852839092787463
75% Corpus,2,0.61,0.31,0.2764459985063904
75% Corpus,2,0.61,0.61,0.2949982822269376
75% Corpus,2,0.61,0.9099999999999999,0.3026851383621099
75% Corpus,2,0.61,symmetric,0.28411718787842766
75% Corpus,2,0.9099999999999999,0.01,0.2937646559866667
75% Corpus,2,0.9099999999999999,0.31,0.28411718787842766
75% Corpus,2,0.9099999999999999,0.61,0.28411718787842766
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.32647244668095476
75% Corpus,2,0.9099999999999999,symmetric,0.29012420638942155
75% Corpus,2,symmetric,0.01,0.29594177985073206
75% Corpus,2,symmetric,0.31,0.2742809227326647
75% Corpus,2,symmetric,0.61,0.29539626456083445
75% Corpus,2,symmetric,0.9099999999999999,0.29211060322218796
75% Corpus,2,symmetric,symmetric,0.320223631181322
75% Corpus,2,asymmetric,0.01,0.2777079174577114
75% Corpus,2,asymmetric,0.31,0.2697674060225613
75% Corpus,2,asymmetric,0.61,0.28801322255203443
75% Corpus,2,asymmetric,0.9099999999999999,0.3006733074710688
75% Corpus,2,asymmetric,symmetric,0.28702301765419724
75% Corpus,3,0.01,0.01,0.3641894185207489
75% Corpus,3,0.01,0.31,0.2951481671259612
75% Corpus,3,0.01,0.61,0.3207562010933119
75% Corpus,3,0.01,0.9099999999999999,0.3064607693641437
75% Corpus,3,0.01,symmetric,0.3013883250774438
75% Corpus,3,0.31,0.01,0.3674402815023982
75% Corpus,3,0.31,0.31,0.323314785954307
75% Corpus,3,0.31,0.61,0.326974146508921
75% Corpus,3,0.31,0.9099999999999999,0.3451939313330055
75% Corpus,3,0.31,symmetric,0.3372833887660671
75% Corpus,3,0.61,0.01,0.3204663833822731
75% Corpus,3,0.61,0.31,0.3307973290890203
75% Corpus,3,0.61,0.61,0.29666848733601897
75% Corpus,3,0.61,0.9099999999999999,0.32141180375607953
75% Corpus,3,0.61,symmetric,0.35071305382375034
75% Corpus,3,0.9099999999999999,0.01,0.34570516699580556
75% Corpus,3,0.9099999999999999,0.31,0.29136014041578995
75% Corpus,3,0.9099999999999999,0.61,0.3112066409288608
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3235540464187003
75% Corpus,3,0.9099999999999999,symmetric,0.35736014086934614
75% Corpus,3,symmetric,0.01,0.31267498310055875
75% Corpus,3,symmetric,0.31,0.3284526495821934
75% Corpus,3,symmetric,0.61,0.2985543969610897
75% Corpus,3,symmetric,0.9099999999999999,0.29544661023506325
75% Corpus,3,symmetric,symmetric,0.36235468902589546
75% Corpus,3,asymmetric,0.01,0.3464997992740875
75% Corpus,3,asymmetric,0.31,0.28228775903153674
75% Corpus,3,asymmetric,0.61,0.40769863004625845
75% Corpus,3,asymmetric,0.9099999999999999,0.3017916887696243
75% Corpus,3,asymmetric,symmetric,0.30665338801628467
75% Corpus,4,0.01,0.01,0.3199371923176371
75% Corpus,4,0.01,0.31,0.3184131725078892
75% Corpus,4,0.01,0.61,0.3163187612466539
75% Corpus,4,0.01,0.9099999999999999,0.3653797152940446
75% Corpus,4,0.01,symmetric,0.32713524107820324
75% Corpus,4,0.31,0.01,0.35557926030411297
75% Corpus,4,0.31,0.31,0.32236672855904047
75% Corpus,4,0.31,0.61,0.3456506426610071
75% Corpus,4,0.31,0.9099999999999999,0.32420195912238
75% Corpus,4,0.31,symmetric,0.33272988186790964
75% Corpus,4,0.61,0.01,0.3280552019541747
75% Corpus,4,0.61,0.31,0.3565083566046242
75% Corpus,4,0.61,0.61,0.3622611511571446
75% Corpus,4,0.61,0.9099999999999999,0.35858468276321925
75% Corpus,4,0.61,symmetric,0.3571563776963713
75% Corpus,4,0.9099999999999999,0.01,0.33863450737067946
75% Corpus,4,0.9099999999999999,0.31,0.34076107722395865
75% Corpus,4,0.9099999999999999,0.61,0.3405426458283437
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3218730113823971
75% Corpus,4,0.9099999999999999,symmetric,0.3169254277929865
75% Corpus,4,symmetric,0.01,0.31122220682322665
75% Corpus,4,symmetric,0.31,0.3180753585776702
75% Corpus,4,symmetric,0.61,0.3400868546855514
75% Corpus,4,symmetric,0.9099999999999999,0.36136654103360333
75% Corpus,4,symmetric,symmetric,0.34907129644718454
75% Corpus,4,asymmetric,0.01,0.3584159313162036
75% Corpus,4,asymmetric,0.31,0.3267587500659876
75% Corpus,4,asymmetric,0.61,0.341910416964121
75% Corpus,4,asymmetric,0.9099999999999999,0.38126529375542206
75% Corpus,4,asymmetric,symmetric,0.31534438918455576
75% Corpus,5,0.01,0.01,0.3305024500354541
75% Corpus,5,0.01,0.31,0.3451721655073548
75% Corpus,5,0.01,0.61,0.289284539578657
75% Corpus,5,0.01,0.9099999999999999,0.3593869235348336
75% Corpus,5,0.01,symmetric,0.3121207984965657
75% Corpus,5,0.31,0.01,0.32668340095886916
75% Corpus,5,0.31,0.31,0.31495120169974766
75% Corpus,5,0.31,0.61,0.3355252408311894
75% Corpus,5,0.31,0.9099999999999999,0.34002147075272127
75% Corpus,5,0.31,symmetric,0.33366992831656556
75% Corpus,5,0.61,0.01,0.3505666369072921
75% Corpus,5,0.61,0.31,0.3633134850728203
75% Corpus,5,0.61,0.61,0.3378669153751826
75% Corpus,5,0.61,0.9099999999999999,0.3837691423723259
75% Corpus,5,0.61,symmetric,0.33079344470373834
75% Corpus,5,0.9099999999999999,0.01,0.35415176855912567
75% Corpus,5,0.9099999999999999,0.31,0.35231020641823496
75% Corpus,5,0.9099999999999999,0.61,0.357350221192773
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3547889269322556
75% Corpus,5,0.9099999999999999,symmetric,0.3261861144598631
75% Corpus,5,symmetric,0.01,0.3532653961527238
75% Corpus,5,symmetric,0.31,0.32829899767042076
75% Corpus,5,symmetric,0.61,0.33956654441465234
75% Corpus,5,symmetric,0.9099999999999999,0.37753078770013165
75% Corpus,5,symmetric,symmetric,0.33269951125657415
75% Corpus,5,asymmetric,0.01,0.352983982573536
75% Corpus,5,asymmetric,0.31,0.3288227566566816
75% Corpus,5,asymmetric,0.61,0.41948547355108373
75% Corpus,5,asymmetric,0.9099999999999999,0.3534377784074314
75% Corpus,5,asymmetric,symmetric,0.3157361752360553
75% Corpus,6,0.01,0.01,0.39456349848490196
75% Corpus,6,0.01,0.31,0.35059457828603535
75% Corpus,6,0.01,0.61,0.33389828969471297
75% Corpus,6,0.01,0.9099999999999999,0.33405845256584793
75% Corpus,6,0.01,symmetric,0.37085836814435136
75% Corpus,6,0.31,0.01,0.34834682765430425
75% Corpus,6,0.31,0.31,0.32027295695906516
75% Corpus,6,0.31,0.61,0.3525652901438914
75% Corpus,6,0.31,0.9099999999999999,0.36139492156261105
75% Corpus,6,0.31,symmetric,0.3389921588947344
75% Corpus,6,0.61,0.01,0.3554889591157049
75% Corpus,6,0.61,0.31,0.31978619834847094
75% Corpus,6,0.61,0.61,0.3474454218441694
75% Corpus,6,0.61,0.9099999999999999,0.3811815121215498
75% Corpus,6,0.61,symmetric,0.33562385790040355
75% Corpus,6,0.9099999999999999,0.01,0.32771589574868026
75% Corpus,6,0.9099999999999999,0.31,0.3209978793022675
75% Corpus,6,0.9099999999999999,0.61,0.34577188271089443
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3489453968011864
